"","x"
"1",0.00975458878109934
"2",0.00933578453565108
"3",0.00855827644848842
"4",0.00811025539636071
"5",0.00760820712716324
"6",0.00677983573087258
"7",0.00624484060742254
"8",0.00587717791391518
"9",0.00511902390097592
"10",0.0046970235924503
"11",0.00401821162414452
"12",0.00335580955921195
"13",0.00266507795076613
"14",0.00217680827488774
"15",0.00165663187840331
"16",0.00139775825402793
"17",0.0012178655704621
"18",0.00974676511955192
"19",0.00853426733661527
"20",0.0066553918986192
"21",0.0057709502555964
"22",0.00493310902504451
"23",0.00386162255968269
"24",0.00334668027865871
"25",0.00306176732311904
"26",0.00262456782437262
"27",0.00245495839659303
"28",0.00226916533708442
"29",0.00216687338972632
"30",0.00211651466328784
"31",0.00210249283571858
"32",0.00209794760835608
"33",0.00209754188625656
"34",0.00209750272576892
"35",0.0151310791656721
"36",0.0125561205350965
"37",0.00887385397081357
"38",0.00729321080275752
"39",0.00590474372150949
"40",0.00431847586424745
"41",0.00365225877306387
"42",0.00331822833570148
"43",0.00286781862882153
"44",0.00271977524665446
"45",0.00258270308677444
"46",0.00252419291160186
"47",0.00250344115027086
"48",0.00249964067916047
"49",0.00249888948996933
"50",0.00249885860477428
"51",0.00249885728574191
"52",0.0159193355522673
"53",0.0138853179749172
"54",0.0107255248551206
"55",0.00923387158801366
"56",0.00781749505625992
"57",0.00599975283714729
"58",0.00512252280683487
"59",0.0046356773853519
"60",0.00388558057394527
"61",0.00359309247479406
"62",0.003271004376741
"63",0.00309226077909906
"64",0.00300335606935492
"65",0.00297827744764281
"66",0.00297001945518058
"67",0.00296926438001587
"68",0.00296918959684773
"69",0.0157435889934208
"70",0.0134884240037847
"71",0.0100355185349884
"72",0.00843222857236439
"73",0.00693040200241163
"74",0.00504189709024915
"75",0.00415227930329128
"76",0.0036672118999653
"77",0.00293717410258214
"78",0.00266082954198965
"79",0.00236565700609507
"80",0.00220920643103189
"81",0.00213475804009032
"82",0.00211670169183537
"83",0.0021109334635784
"84",0.00211047467689231
"85",0.00211043552740465
"86",0.0242352267099065
"87",0.0163115671053506
"88",0.0082064374506578
"89",0.00587756626680475
"90",0.0043936492994424
"91",0.00333178629284183
"92",0.00308367384432299
"93",0.00300245625574161
"94",0.00293773513672481
"95",0.00292746719106911
"96",0.00292267625556382
"97",0.0029219720961908
"98",0.00292190695174149
"99",0.00292190495064487
"100",0.00292190489466419
"101",0.00292190489458069
"102",0.00292190489458056
"103",0.0185131676912064
"104",0.0145720608924143
"105",0.00929166923350828
"106",0.0071907732229614
"107",0.00545567392482938
"108",0.0036464122754925
"109",0.00296635124130407
"110",0.00265189578841676
"111",0.00226975493161392
"112",0.00216022926902702
"113",0.00207165142566895
"114",0.00204090165564673
"115",0.00203252571922488
"116",0.00203143645244229
"117",0.00203129076193386
"118",0.00203128751527415
"119",0.022949897668839
"120",0.00969450699987595
"121",0.00969450699987595
"122",0.00969450699987595
"123",0.00969450699987595
"124",0.00969450699987595
"125",0.00969450699987595
"126",0.00969450699987595
"127",0.00969450699987595
"128",0.00969450699987595
"129",0.00969450699987595
"130",0.00969450699987595
"131",0.00969450699987595
"132",0.00969450699987595
"133",0.00969450699987595
"134",0.00969450699987595
"135",0.00969450699987595
"136",0.0249420462615999
"137",0.0212895775427092
"138",0.0156444672134635
"139",0.0129950241684923
"140",0.0104912958766612
"141",0.00730106943191801
"142",0.00577452478274005
"143",0.00493257776879006
"144",0.00364604013021777
"145",0.00314958442239315
"146",0.00260872954679311
"147",0.0023133987367547
"148",0.00216955161764265
"149",0.00213003762146028
"150",0.0021174363770189
"151",0.00211633935339523
"152",0.00211623626764112
"153",0.0127279670844206
"154",0.0114513031560505
"155",0.00932281024051009
"156",0.00823441561197138
"157",0.00713044096571015
"158",0.00556540981116882
"159",0.00471657185348674
"160",0.00420341170926009
"161",0.0033165395106951
"162",0.00291753224342601
"163",0.0024073748715794
"164",0.00205322588481712
"165",0.00181747874745342
"166",0.00172158129830476
"167",0.00167197306823889
"168",0.00166305456679552
"169",0.00166119982770493
"170",0.0105327440937015
"171",0.00724540889949749
"172",0.0039446410706564
"173",0.00301783632972079
"174",0.00243787603488738
"175",0.00203343728592486
"176",0.00194206457736381
"177",0.00191287466017502
"178",0.00189026780904097
"179",0.0018868291896124
"180",0.00188506937647566
"181",0.00188505098115488
"182",0.00188505047029703
"183",0.00188505045744895
"184",0.00188505045743307
"185",0.00188505045743305
"186",0.0174768556856331
"187",0.012304324523599
"188",0.00725895337568914
"189",0.00589258303240851
"190",0.00506140093893824
"191",0.00450462677274957
"192",0.00438530243908708
"193",0.00434861144933236
"194",0.00432142886932289
"195",0.00431755869919103
"196",0.00431591704984817
"197",0.00431570983478854
"198",0.00431569396747447
"199",0.00431569359114177
"200",0.00431569358312565
"201",0.00431569358311826
"202",0.00431569358311826
"203",0.0138949486558041
"204",0.0104003103598478
"205",0.00639342357427523
"206",0.00506932485478565
"207",0.00412706408762594
"208",0.00333668821264907
"209",0.0031101752288084
"210",0.0030241928479384
"211",0.00294242603692509
"212",0.00292568787279384
"213",0.00291585178610555
"214",0.00291377066868812
"215",0.00291346725961586
"216",0.00291345001376874
"217",0.00291344907992773
"218",0.00291344907990722
"219",0.0130638101554134
"220",0.0110172171404253
"221",0.00803797692125546
"222",0.00673253590390886
"223",0.00556640576851267
"224",0.004200455519322
"225",0.00360926356484934
